row_id,day_hour,no_of_clients,no_put,no_post,no_head
69,01-25-2019 00,46,303,302,303
70,01-25-2019 01,46,300,300,302
71,01-25-2019 02,46,305,306,307
72,01-25-2019 03,46,304,307,298
73,01-25-2019 04,46,300,299,303
74,01-25-2019 05,46,310,304,301
75,01-25-2019 06,46,299,304,295
76,01-25-2019 07,46,304,299,307
77,01-25-2019 08,46,305,302,301
78,01-25-2019 09,46,305,299,304
79,01-25-2019 10,46,304,294,302
80,01-25-2019 11,46,302,303,300
81,01-25-2019 12,46,306,293,302
82,01-25-2019 13,46,303,307,305
83,01-25-2019 14,46,299,308,304
84,01-25-2019 15,46,302,305,302
85,01-25-2019 16,46,303,304,306
86,01-25-2019 17,46,300,296,299
87,01-25-2019 18,46,304,301,304
88,01-25-2019 19,46,309,302,306
89,01-25-2019 20,46,304,306,300
90,01-25-2019 21,46,303,304,306
91,01-25-2019 22,46,307,309,307
92,01-25-2019 23,46,304,305,307
93,01-26-2019 00,46,307,300,300
94,01-26-2019 01,46,300,307,300
95,01-26-2019 02,46,300,309,311
96,01-26-2019 03,46,300,302,304
97,01-26-2019 04,46,301,303,301
98,01-26-2019 05,46,297,305,304
99,01-26-2019 06,46,302,304,307
100,01-26-2019 07,46,298,298,304
101,01-26-2019 08,46,309,305,301
102,01-26-2019 09,46,297,302,298
103,01-26-2019 10,46,309,308,304
104,01-26-2019 11,46,297,301,308
105,01-26-2019 12,46,305,306,295
106,01-26-2019 13,46,300,306,305
107,01-26-2019 14,46,310,300,305
108,01-26-2019 15,46,307,310,309
109,01-26-2019 16,46,304,310,299
110,01-26-2019 17,46,308,304,308
111,01-26-2019 18,46,304,307,306
112,01-26-2019 19,46,304,300,304
113,01-26-2019 20,46,300,303,300
114,01-26-2019 21,46,300,310,300
115,01-26-2019 22,46,308,308,302
116,01-26-2019 23,46,296,306,308
117,01-27-2019 00,46,291,302,303
118,01-27-2019 01,46,302,297,297
119,01-27-2019 02,46,309,296,304
120,01-27-2019 03,46,304,307,302
121,01-27-2019 04,46,301,305,301
122,01-27-2019 05,46,303,304,306
123,01-27-2019 06,46,300,300,297
124,01-27-2019 07,46,302,302,303
125,01-27-2019 08,46,302,307,306
126,01-27-2019 09,46,305,304,310
127,01-27-2019 10,46,304,303,302
128,01-27-2019 11,46,302,298,304
129,01-27-2019 12,46,308,307,301
130,01-27-2019 13,46,309,297,302
131,01-27-2019 14,46,300,305,307
132,01-27-2019 15,46,299,301,297
133,01-27-2019 16,46,303,310,299
134,01-27-2019 17,46,298,310,301
135,01-27-2019 18,46,307,303,300
136,01-27-2019 19,46,302,299,309
137,01-27-2019 20,46,301,300,292
138,01-27-2019 21,46,301,299,308
139,01-27-2019 22,46,300,294,297
140,01-27-2019 23,46,303,302,305
141,01-28-2019 00,46,306,302,305
142,01-28-2019 01,46,299,296,300
143,01-28-2019 02,46,304,303,300
144,01-28-2019 03,46,300,302,296
145,01-28-2019 04,46,307,299,305
146,01-28-2019 05,46,305,304,304
147,01-28-2019 06,46,302,311,302
148,01-28-2019 07,46,302,305,304
149,01-28-2019 08,46,296,306,300
150,01-28-2019 09,46,305,309,306
151,01-28-2019 10,46,305,302,298
152,01-28-2019 11,46,307,305,303
153,01-28-2019 12,46,305,301,297
154,01-28-2019 13,46,304,303,304
155,01-28-2019 14,46,309,299,302
156,01-28-2019 15,46,302,294,298
157,01-28-2019 16,46,308,303,305
158,01-28-2019 17,46,303,307,298
159,01-28-2019 18,46,301,304,303
160,01-28-2019 19,46,309,302,298
161,01-28-2019 20,46,299,305,303
162,01-28-2019 21,46,300,302,297
163,01-28-2019 22,46,305,304,311
164,01-28-2019 23,46,307,303,300
165,01-29-2019 00,46,305,292,301
166,01-29-2019 01,46,305,307,300
167,01-29-2019 02,46,305,304,307
168,01-29-2019 03,46,306,309,299
169,01-29-2019 04,46,305,308,297
170,01-29-2019 05,46,301,303,307
171,01-29-2019 06,46,303,301,302
172,01-29-2019 07,46,303,303,302
173,01-29-2019 08,46,306,305,297
174,01-29-2019 09,46,303,305,303
175,01-29-2019 10,46,302,306,304
176,01-29-2019 11,46,299,304,296
177,01-29-2019 12,46,305,307,304
178,01-29-2019 13,46,302,297,300
179,01-29-2019 14,46,305,302,299
180,01-29-2019 15,46,308,304,294
181,01-29-2019 16,46,300,305,310
182,01-29-2019 17,46,299,304,307
183,01-29-2019 18,46,307,296,302
184,01-29-2019 19,46,308,306,307
185,01-29-2019 20,46,296,305,298
186,01-29-2019 21,46,305,304,301
187,01-29-2019 22,46,310,294,307
188,01-29-2019 23,46,301,291,307
189,01-30-2019 00,46,299,309,304
190,01-30-2019 01,46,304,301,301
191,01-30-2019 02,46,302,296,303
192,01-30-2019 03,46,301,306,303
193,01-30-2019 04,46,306,299,299
194,01-30-2019 05,46,302,299,294
195,01-30-2019 06,46,304,303,303
196,01-30-2019 07,46,297,298,304
197,01-30-2019 08,46,299,305,302
198,01-30-2019 09,46,303,305,296
199,01-30-2019 10,46,307,303,309
200,01-30-2019 11,46,304,302,301
201,01-30-2019 12,46,307,305,311
202,01-30-2019 13,46,308,303,292
203,01-30-2019 14,46,303,307,305
204,01-30-2019 15,46,303,300,309
205,01-30-2019 16,46,307,309,301
206,01-30-2019 17,46,304,305,295
207,01-30-2019 18,46,299,307,307
208,01-30-2019 19,46,301,289,300
209,01-30-2019 20,46,294,306,301
210,01-30-2019 21,46,305,301,305
211,01-30-2019 22,46,304,299,301
212,01-30-2019 23,46,303,299,306
213,01-31-2019 00,46,302,306,304
214,01-31-2019 01,46,303,300,302
215,01-31-2019 02,46,303,312,297
216,01-31-2019 03,46,305,303,299
217,01-31-2019 04,46,303,305,306
218,01-31-2019 05,46,305,303,299
219,01-31-2019 06,46,303,296,306
220,01-31-2019 07,46,301,307,305
221,01-31-2019 08,46,304,307,299
222,01-31-2019 09,46,308,306,305
223,01-31-2019 10,46,306,302,307
224,01-31-2019 11,46,296,300,302
225,01-31-2019 12,46,307,312,302
226,01-31-2019 13,46,302,303,293
227,01-31-2019 14,46,297,302,307
228,01-31-2019 15,46,303,298,304
229,01-31-2019 16,46,298,302,303
230,01-31-2019 17,46,300,301,301
231,01-31-2019 18,46,303,304,304
232,01-31-2019 19,46,301,297,299
233,01-31-2019 20,46,306,303,306
234,01-31-2019 21,46,299,304,300
235,01-31-2019 22,46,301,302,302
236,01-31-2019 23,46,298,305,305
237,02-01-2019 00,46,303,301,299
238,02-01-2019 01,45,302,302,308
239,02-01-2019 02,45,303,303,302
240,02-01-2019 03,45,304,297,295
241,02-01-2019 04,45,304,296,305
242,02-01-2019 05,45,308,301,300
243,02-01-2019 06,45,294,307,301
244,02-01-2019 07,45,306,308,307
245,02-01-2019 08,45,302,298,304
246,02-01-2019 09,45,302,299,304
247,02-01-2019 10,45,298,304,299
248,02-01-2019 11,45,304,294,303
249,02-01-2019 12,45,307,304,303
250,02-01-2019 13,45,298,305,309
251,02-01-2019 14,45,298,304,301
252,02-01-2019 15,45,299,308,308
253,02-01-2019 16,45,305,309,307
254,02-01-2019 17,45,307,300,306
255,02-01-2019 18,45,297,303,297
256,02-01-2019 19,45,300,296,300
257,02-01-2019 20,45,300,303,307
258,02-01-2019 21,45,307,303,301
259,02-01-2019 22,45,309,303,306
260,02-01-2019 23,45,305,300,296
261,02-02-2019 00,45,305,310,302
262,02-02-2019 01,45,300,298,298
263,02-02-2019 02,45,310,313,305
264,02-02-2019 03,45,306,305,306
265,02-02-2019 04,45,305,308,313
266,02-02-2019 05,45,303,301,307
267,02-02-2019 06,45,301,305,304
268,02-02-2019 07,45,311,307,307
269,02-02-2019 08,45,306,296,311
270,02-02-2019 09,45,305,299,307
271,02-02-2019 10,45,304,297,307
272,02-02-2019 11,45,306,306,308
273,02-02-2019 12,45,306,308,294
274,02-02-2019 13,45,302,307,301
275,02-02-2019 14,45,308,303,307
276,02-02-2019 15,45,299,302,293
277,02-02-2019 16,45,301,305,307
278,02-02-2019 17,45,300,299,296
279,02-02-2019 18,45,302,306,298
280,02-02-2019 19,45,303,299,301
281,02-02-2019 20,45,303,299,301
282,02-02-2019 21,45,295,302,298
283,02-02-2019 22,44,291,296,299
284,02-02-2019 23,44,297,296,296
285,02-03-2019 00,44,296,299,296
286,02-03-2019 01,44,289,294,295
287,02-03-2019 02,44,299,289,288
288,02-03-2019 03,44,294,296,298
289,02-03-2019 04,44,283,286,295
290,02-03-2019 05,43,287,273,280
291,02-03-2019 06,43,276,284,282
292,02-03-2019 07,42,276,276,277
293,02-03-2019 08,42,278,274,272
294,02-03-2019 09,42,266,273,270
295,02-03-2019 10,42,267,266,268
296,02-03-2019 11,41,261,266,263
297,02-03-2019 12,40,258,267,263
298,02-03-2019 13,40,263,258,262
299,02-03-2019 14,40,264,256,263
300,02-03-2019 15,40,254,256,251
301,02-03-2019 16,39,250,253,252
302,02-03-2019 17,39,243,248,254
303,02-03-2019 18,37,243,240,246
304,02-03-2019 19,37,244,233,236
305,02-03-2019 20,37,233,229,226
306,02-03-2019 21,35,227,226,229
307,02-03-2019 22,35,218,222,219
308,02-03-2019 23,34,212,211,213
309,02-04-2019 00,34,207,212,202
310,02-04-2019 01,34,190,199,197
311,02-04-2019 02,34,184,182,189
312,02-04-2019 03,33,184,176,178
313,02-04-2019 04,32,167,162,169
314,02-04-2019 05,31,155,164,155
315,02-04-2019 06,30,150,148,152
316,02-04-2019 07,29,140,139,132
317,02-04-2019 08,29,127,125,127
318,02-04-2019 09,29,113,116,112
319,02-04-2019 10,28,104,109,112
320,02-04-2019 11,28,106,99,95
321,02-04-2019 12,26,92,90,92
322,02-04-2019 13,25,82,87,86
323,02-04-2019 14,24,75,74,74
324,02-04-2019 15,23,74,70,71
325,02-04-2019 16,22,59,68,65
326,02-04-2019 17,21,51,56,54
327,02-04-2019 18,20,44,50,47
328,02-04-2019 19,20,44,43,42
329,02-04-2019 20,20,38,36,36
330,02-04-2019 21,19,30,35,29
331,02-04-2019 22,19,27,29,27
332,02-04-2019 23,16,23,21,23
333,02-05-2019 00,13,21,19,21
334,02-05-2019 01,13,18,18,20
335,02-05-2019 02,13,16,12,17
336,02-05-2019 03,12,13,14,13
337,02-05-2019 04,11,10,11,13
338,02-05-2019 05,9,9,10,5
339,02-05-2019 06,6,4,5,7
340,02-05-2019 07,7,4,5,6
341,02-05-2019 08,5,4,2,5
342,02-05-2019 09,4,4,2,3
343,02-05-2019 10,4,3,1,3
344,02-05-2019 11,1,1,1,1
345,02-05-2019 12,1,1,1,1
346,02-05-2019 13,1,1,0,1
347,02-05-2019 14,1,0,0,1
348,02-05-2019 15,1,1,1,0
349,02-05-2019 16,1,1,0,0
350,02-05-2019 17,1,0,0,1
