row_id,day_hour,ip,no_put,no_post,no_head
54,01-22-2019 04,54.36.148.162,0,7,0
55,01-22-2019 04,173.249.54.68,5,65,7
56,01-22-2019 04,54.36.148.11,0,0,1
57,01-22-2019 04,66.249.66.92,46,28,89
58,01-22-2019 04,172.20.2.175,0,0,1
59,01-22-2019 04,89.199.193.252,0,17,0
60,01-22-2019 04,54.36.148.33,19,0,0
61,01-22-2019 04,54.36.148.118,0,0,3
62,01-22-2019 04,91.99.72.16,17,51,88
63,01-22-2019 04,54.36.148.88,0,4,0
64,01-22-2019 04,207.46.13.137,11,18,69
65,01-22-2019 04,5.160.157.21,23,3,0
66,01-22-2019 04,2.177.12.141,107,39,81
67,01-22-2019 04,5.78.180.76,0,22,0
68,01-22-2019 04,204.18.198.249,11,55,76
69,01-22-2019 04,54.36.149.18,0,17,0
70,01-22-2019 04,2.179.141.99,2,28,33
71,01-22-2019 04,54.36.149.42,0,18,0
72,01-22-2019 04,66.111.54.250,108,149,73
73,01-22-2019 04,34.247.132.54,0,0,24
74,01-22-2019 04,66.249.64.67,9,0,0
75,01-22-2019 04,54.36.149.93,0,3,0
76,01-22-2019 04,178.253.33.52,7,3,13
77,01-22-2019 04,40.77.167.130,26,36,23
78,01-22-2019 04,157.55.39.246,22,0,3
79,01-22-2019 04,5.211.97.40,113,111,110
80,01-22-2019 04,5.62.206.250,9,0,0
81,01-22-2019 04,207.46.13.105,26,30,23
82,01-22-2019 04,31.56.96.52,90,47,89
83,01-22-2019 04,2.185.221.80,0,4,0
84,01-22-2019 04,46.224.77.33,8,6,3
85,01-22-2019 04,5.78.198.53,14,142,53
86,01-22-2019 04,104.194.24.34,7,0,0
87,01-22-2019 04,54.36.148.233,8,0,0
88,01-22-2019 04,17.58.102.44,16,2,2
89,01-22-2019 04,54.36.149.64,0,0,17
90,01-22-2019 04,51.15.15.55,30,0,0
91,01-22-2019 04,54.36.149.71,0,14,0
92,01-22-2019 05,157.55.39.247,33,0,0
93,01-22-2019 05,89.199.193.253,5,0,0
94,01-22-2019 05,204.18.198.250,41,29,83
95,01-22-2019 05,34.247.132.55,0,7,0
96,01-22-2019 05,91.99.72.17,117,8,65
97,01-22-2019 05,2.185.221.81,0,2,0
98,01-22-2019 05,54.36.148.89,0,0,6
99,01-22-2019 05,54.36.149.94,0,0,7
100,01-22-2019 05,207.46.13.106,26,6,19
101,01-22-2019 05,207.46.13.117,33,47,4
102,01-22-2019 05,54.36.149.37,39,0,0
103,01-22-2019 05,5.160.157.22,29,0,11
104,01-22-2019 05,207.46.13.138,74,11,70
105,01-22-2019 05,104.194.24.35,0,0,15
106,01-22-2019 05,31.56.96.53,66,146,32
107,01-22-2019 05,172.20.2.176,2,0,0
108,01-22-2019 05,5.78.180.77,7,0,0
109,01-22-2019 05,178.253.33.53,11,1,26
110,01-22-2019 05,5.78.198.54,22,76,48
111,01-22-2019 05,46.224.77.34,0,20,21
112,01-22-2019 05,54.36.148.119,0,0,3
113,01-22-2019 05,5.211.97.41,138,62,179
114,01-22-2019 05,54.36.149.72,0,5,0
115,01-22-2019 05,66.111.54.251,156,88,211
116,01-22-2019 05,54.36.149.60,0,2,0
117,01-22-2019 05,51.15.15.56,0,23,13
118,01-22-2019 05,54.36.148.20,6,0,0
119,01-22-2019 05,2.179.141.100,46,5,45
120,01-22-2019 05,66.249.66.93,128,56,42
121,01-22-2019 05,54.36.148.234,0,13,0
122,01-22-2019 05,54.36.148.34,0,0,70
123,01-22-2019 05,2.177.12.142,71,90,62
124,01-22-2019 05,54.36.148.19,0,5,0
125,01-22-2019 05,173.249.54.69,5,43,9
126,01-22-2019 05,54.36.149.43,0,9,0
127,01-22-2019 05,5.112.52.256,0,12,2
128,01-22-2019 05,17.58.102.45,1,0,40
129,01-22-2019 05,54.36.148.12,5,0,0
130,01-22-2019 05,5.209.200.220,57,45,77
131,01-22-2019 05,54.36.149.65,0,0,4
132,01-22-2019 05,66.249.64.68,0,13,0
133,01-22-2019 05,40.77.167.131,28,20,59
134,01-22-2019 05,54.36.148.163,0,25,0
135,01-22-2019 05,54.36.149.19,13,0,0
136,01-22-2019 05,66.249.66.196,60,67,120
137,01-22-2019 05,5.62.206.251,0,0,2
138,01-22-2019 06,207.46.13.118,42,30,22
139,01-22-2019 06,54.36.148.90,0,0,6
140,01-22-2019 06,5.209.200.221,37,64,91
141,01-22-2019 06,66.249.66.197,159,123,118
142,01-22-2019 06,207.46.13.139,56,6,19
143,01-22-2019 06,104.194.24.36,0,0,1
144,01-22-2019 06,5.78.180.78,52,0,0
145,01-22-2019 06,204.18.198.251,19,79,36
146,01-22-2019 06,207.46.13.107,39,1,13
147,01-22-2019 06,54.36.148.13,15,0,0
148,01-22-2019 06,5.78.198.55,30,52,93
149,01-22-2019 06,31.56.96.54,82,50,57
150,01-22-2019 06,5.211.97.42,154,84,96
151,01-22-2019 06,46.224.77.35,2,62,0
152,01-22-2019 06,2.177.12.143,28,58,66
153,01-22-2019 06,54.36.149.44,0,6,0
154,01-22-2019 06,40.77.167.132,22,93,3
155,01-22-2019 06,5.160.157.23,0,1,4
156,01-22-2019 06,54.36.148.35,0,18,0
157,01-22-2019 06,54.36.148.120,1,0,0
158,01-22-2019 06,54.36.148.235,1,0,0
159,01-22-2019 06,178.253.33.54,32,31,0
160,01-22-2019 06,91.99.72.18,66,51,52
161,01-22-2019 06,157.55.39.248,14,4,0
162,01-22-2019 06,54.36.148.164,5,0,0
163,01-22-2019 06,17.58.102.46,10,3,26
164,01-22-2019 06,54.36.149.61,0,0,24
165,01-22-2019 06,54.36.149.66,0,0,8
166,01-22-2019 06,54.36.149.73,0,0,14
167,01-22-2019 06,5.112.52.257,1,18,0
168,01-22-2019 06,89.199.193.254,0,0,4
169,01-22-2019 06,172.20.2.177,0,0,6
170,01-22-2019 06,54.36.148.21,0,6,0
171,01-22-2019 06,2.185.221.82,7,0,0
172,01-22-2019 06,51.15.15.57,2,2,0
173,01-22-2019 06,54.36.148.20,0,50,0
174,01-22-2019 06,54.36.149.20,8,0,0
175,01-22-2019 06,66.111.54.252,185,103,44
176,01-22-2019 06,54.36.149.38,1,0,0
177,01-22-2019 06,5.62.206.252,0,0,8
178,01-22-2019 06,54.36.149.95,37,0,0
179,01-22-2019 06,2.179.141.101,11,15,23
180,01-22-2019 06,173.249.54.70,33,31,6
181,01-22-2019 06,34.247.132.56,3,0,0
182,01-22-2019 06,66.249.64.69,13,0,0
183,01-22-2019 06,66.249.66.94,79,62,143
184,01-22-2019 07,207.46.13.119,6,27,13
185,01-22-2019 07,104.194.24.37,0,0,6
186,01-22-2019 07,91.99.72.19,40,49,119
187,01-22-2019 07,66.249.66.198,154,96,56
188,01-22-2019 07,54.36.149.74,0,4,0
189,01-22-2019 07,178.253.33.55,6,7,65
190,01-22-2019 07,54.36.148.36,0,0,7
191,01-22-2019 07,157.55.39.249,11,21,0
192,01-22-2019 07,40.77.167.133,16,2,68
193,01-22-2019 07,2.177.12.144,69,35,101
194,01-22-2019 07,204.18.198.252,30,32,24
195,01-22-2019 07,54.36.149.45,0,1,0
196,01-22-2019 07,54.36.148.22,0,0,9
197,01-22-2019 07,54.36.148.91,0,9,0
198,01-22-2019 07,54.36.148.165,0,0,8
199,01-22-2019 07,207.46.13.140,31,88,40
200,01-22-2019 07,31.56.96.55,48,67,96
201,01-22-2019 07,54.36.149.96,9,0,0
202,01-22-2019 07,5.160.157.24,1,0,33
203,01-22-2019 07,89.199.193.255,0,0,2
204,01-22-2019 07,54.36.149.62,0,5,0
205,01-22-2019 07,46.224.77.36,10,23,0
206,01-22-2019 07,54.36.148.121,0,0,29
207,01-22-2019 07,54.36.148.236,0,12,0
208,01-22-2019 07,5.78.180.79,0,14,0
209,01-22-2019 07,54.36.149.39,10,0,0
210,01-22-2019 07,173.249.54.71,8,12,9
211,01-22-2019 07,54.36.149.21,0,26,0
212,01-22-2019 07,172.20.2.178,10,0,0
213,01-22-2019 07,5.62.206.253,0,9,0
214,01-22-2019 07,5.78.198.56,45,36,91
215,01-22-2019 07,66.111.54.253,110,211,86
216,01-22-2019 07,34.247.132.57,0,7,0
217,01-22-2019 07,17.58.102.47,1,5,1
218,01-22-2019 07,54.36.149.67,0,0,14
219,01-22-2019 07,51.15.15.58,1,0,6
220,01-22-2019 07,2.179.141.102,16,18,2
221,01-22-2019 07,2.185.221.83,18,0,0
222,01-22-2019 07,207.46.13.108,34,19,8
223,01-22-2019 07,66.249.64.70,2,0,0
224,01-22-2019 07,5.211.97.43,127,160,99
225,01-22-2019 07,5.112.52.258,9,0,0
226,01-22-2019 07,54.36.148.14,9,0,0
227,01-22-2019 07,54.36.148.21,11,0,0
228,01-22-2019 07,66.249.66.95,38,28,91
229,01-22-2019 07,5.209.200.222,58,33,42
230,01-22-2019 08,207.46.13.109,42,12,2
231,01-22-2019 08,5.112.52.259,0,38,0
232,01-22-2019 08,2.185.221.84,0,19,0
233,01-22-2019 08,54.36.149.68,0,0,14
234,01-22-2019 08,54.36.148.15,0,0,68
235,01-22-2019 08,5.78.180.80,1,0,0
236,01-22-2019 08,5.160.157.25,0,20,6
237,01-22-2019 08,173.249.54.72,11,30,12
238,01-22-2019 08,5.78.198.57,76,73,74
239,01-22-2019 08,31.56.96.56,107,63,65
240,01-22-2019 08,54.36.148.22,0,0,15
241,01-22-2019 08,66.249.66.199,139,104,85
242,01-22-2019 08,5.211.97.44,227,113,73
243,01-22-2019 08,51.15.15.59,0,2,1
244,01-22-2019 08,54.36.149.63,0,11,0
245,01-22-2019 08,66.111.54.254,82,209,99
246,01-22-2019 08,2.179.141.103,20,31,2
247,01-22-2019 08,54.36.149.46,0,0,4
248,01-22-2019 08,157.55.39.250,20,0,14
249,01-22-2019 08,207.46.13.120,3,11,44
250,01-22-2019 08,17.58.102.48,23,0,0
251,01-22-2019 08,172.20.2.179,10,0,0
252,01-22-2019 08,54.36.149.40,0,11,0
253,01-22-2019 08,104.194.24.38,0,0,30
254,01-22-2019 08,207.46.13.141,15,65,52
255,01-22-2019 08,5.209.200.223,14,115,20
256,01-22-2019 08,91.99.72.20,40,56,80
257,01-22-2019 08,54.36.149.75,0,7,0
258,01-22-2019 08,54.36.148.122,11,0,0
259,01-22-2019 08,54.36.149.97,18,0,0
260,01-22-2019 08,40.77.167.134,9,52,16
261,01-22-2019 08,178.253.33.56,17,38,22
262,01-22-2019 08,54.36.148.166,0,0,1
263,01-22-2019 08,46.224.77.37,29,16,0
264,01-22-2019 08,204.18.198.253,25,27,43
265,01-22-2019 08,54.36.148.23,4,0,0
266,01-22-2019 08,5.62.206.254,0,6,0
267,01-22-2019 08,89.199.193.256,8,0,0
268,01-22-2019 08,54.36.148.92,0,0,2
269,01-22-2019 08,34.247.132.58,3,0,0
270,01-22-2019 08,54.36.148.237,0,23,0
271,01-22-2019 08,54.36.148.37,0,0,8
272,01-22-2019 08,2.177.12.145,88,82,33
273,01-22-2019 08,54.36.149.22,0,0,13
274,01-22-2019 08,66.249.66.96,92,108,45
275,01-22-2019 08,66.249.64.71,0,5,0
276,01-22-2019 09,5.211.97.45,154,148,134
277,01-22-2019 09,89.199.193.257,0,0,23
278,01-22-2019 09,46.224.77.38,7,12,14
279,01-22-2019 09,34.247.132.59,0,6,0
280,01-22-2019 09,2.179.141.104,27,32,15
281,01-22-2019 09,204.18.198.254,16,40,70
282,01-22-2019 09,2.177.12.146,117,13,58
283,01-22-2019 09,54.36.149.64,0,0,1
284,01-22-2019 09,54.36.148.24,11,0,0
285,01-22-2019 09,104.194.24.39,19,0,0
286,01-22-2019 09,54.36.148.167,0,0,19
287,01-22-2019 09,54.36.148.16,0,0,4
288,01-22-2019 09,54.36.149.69,0,0,1
289,01-22-2019 09,54.36.149.47,0,9,0
290,01-22-2019 09,5.78.180.81,0,0,2
291,01-22-2019 09,66.249.66.200,74,89,63
292,01-22-2019 09,207.46.13.142,19,48,54
293,01-22-2019 09,40.77.167.135,74,21,24
294,01-22-2019 09,207.46.13.110,28,41,20
295,01-22-2019 09,66.249.66.97,22,95,79
296,01-22-2019 09,5.112.52.260,7,0,2
297,01-22-2019 09,54.36.148.38,0,0,7
298,01-22-2019 09,173.249.54.73,27,6,38
299,01-22-2019 09,54.36.149.98,2,0,0
300,01-22-2019 09,5.62.206.255,0,7,0
301,01-22-2019 09,207.46.13.121,0,21,3
302,01-22-2019 09,2.185.221.85,1,0,0
303,01-22-2019 09,31.56.96.57,66,103,89
304,01-22-2019 09,66.249.64.72,0,0,20
305,01-22-2019 09,54.36.149.41,6,0,0
306,01-22-2019 09,5.209.200.224,67,118,37
307,01-22-2019 09,178.253.33.57,22,4,16
308,01-22-2019 09,54.36.148.23,0,0,10
309,01-22-2019 09,5.160.157.26,6,3,0
310,01-22-2019 09,54.36.148.93,0,0,5
311,01-22-2019 09,91.99.72.21,118,50,33
312,01-22-2019 09,54.36.149.76,0,16,0
313,01-22-2019 09,51.15.15.60,0,3,1
314,01-22-2019 09,17.58.102.49,15,5,0
315,01-22-2019 09,54.36.148.123,0,19,0
316,01-22-2019 09,157.55.39.251,33,0,0
317,01-22-2019 09,54.36.149.23,0,4,0
318,01-22-2019 09,54.36.148.238,0,15,0
319,01-22-2019 09,5.78.198.58,39,53,43
320,01-22-2019 09,66.111.54.255,101,95,230
321,01-22-2019 09,172.20.2.180,0,21,0
322,01-22-2019 10,54.36.148.124,0,0,1
323,01-22-2019 10,54.36.149.99,0,0,4
324,01-22-2019 10,54.36.149.42,0,10,0
325,01-22-2019 10,54.36.149.24,25,0,0
326,01-22-2019 10,2.179.141.105,36,38,0
327,01-22-2019 10,91.99.72.22,56,65,17
328,01-22-2019 10,54.36.149.70,16,0,0
329,01-22-2019 10,178.253.33.58,76,0,27
330,01-22-2019 10,54.36.148.168,0,0,9
331,01-22-2019 10,207.46.13.111,11,10,19
332,01-22-2019 10,51.15.15.61,6,19,0
333,01-22-2019 10,89.199.193.258,0,33,0
334,01-22-2019 10,5.209.200.225,55,81,48
335,01-22-2019 10,34.247.132.60,0,0,9
336,01-22-2019 10,2.177.12.147,36,53,40
337,01-22-2019 10,54.36.149.65,0,3,0
338,01-22-2019 10,5.78.198.59,50,38,40
339,01-22-2019 10,5.211.97.46,69,44,113
340,01-22-2019 10,66.249.64.73,10,0,0
341,01-22-2019 10,172.20.2.181,13,0,0
342,01-22-2019 10,207.46.13.122,21,24,28
343,01-22-2019 10,173.249.54.74,21,0,3
344,01-22-2019 10,40.77.167.136,49,52,13
345,01-22-2019 10,5.112.52.261,0,6,0
346,01-22-2019 10,66.249.66.98,37,107,60
347,01-22-2019 10,31.56.96.58,154,62,127
348,01-22-2019 10,2.185.221.86,0,17,0
349,01-22-2019 10,5.78.180.82,0,0,6
350,01-22-2019 10,157.55.39.252,0,20,11
351,01-22-2019 10,17.58.102.50,32,0,0
352,01-22-2019 10,104.194.24.40,0,0,9
353,01-22-2019 10,5.160.157.27,27,0,3
354,01-22-2019 10,5.62.206.256,12,0,0
355,01-22-2019 10,66.249.66.201,141,92,127
356,01-22-2019 10,54.36.148.239,0,11,0
357,01-22-2019 10,54.36.148.24,0,20,0
358,01-22-2019 10,54.36.148.39,13,0,0
359,01-22-2019 10,54.36.149.77,3,0,0
360,01-22-2019 10,66.111.54.256,105,118,160
361,01-22-2019 10,54.36.148.94,0,2,0
362,01-22-2019 10,54.36.149.48,0,1,0
363,01-22-2019 10,207.46.13.143,36,39,71
364,01-22-2019 10,54.36.148.17,0,10,0
365,01-22-2019 10,204.18.198.255,22,45,35
366,01-22-2019 10,54.36.148.25,0,0,1
367,01-22-2019 10,46.224.77.39,18,0,6
368,01-22-2019 11,40.77.167.137,10,75,69
369,01-22-2019 11,207.46.13.123,21,33,0
370,01-22-2019 11,5.62.206.257,0,9,0
371,01-22-2019 11,51.15.15.62,10,1,0
372,01-22-2019 11,46.224.77.40,11,0,6
373,01-22-2019 11,31.56.96.59,16,117,109
374,01-22-2019 11,104.194.24.41,5,0,0
375,01-22-2019 11,34.247.132.61,2,0,0
376,01-22-2019 11,54.36.148.125,18,0,0
377,01-22-2019 11,66.249.66.99,47,75,66
378,01-22-2019 11,2.185.221.87,0,0,8
379,01-22-2019 11,54.36.148.169,0,0,2
380,01-22-2019 11,66.111.54.257,214,174,93
381,01-22-2019 11,17.58.102.51,8,4,1
382,01-22-2019 11,5.78.198.60,57,62,80
383,01-22-2019 11,54.36.149.66,0,20,0
384,01-22-2019 11,207.46.13.112,17,45,10
385,01-22-2019 11,5.78.180.83,0,0,11
386,01-22-2019 11,54.36.149.25,0,15,0
387,01-22-2019 11,89.199.193.259,0,3,0
388,01-22-2019 11,91.99.72.23,41,78,95
389,01-22-2019 11,5.160.157.28,0,17,24
390,01-22-2019 11,157.55.39.253,6,21,7
391,01-22-2019 11,54.36.148.240,0,4,0
392,01-22-2019 11,204.18.198.256,10,41,70
393,01-22-2019 11,172.20.2.182,6,0,0
394,01-22-2019 11,54.36.148.95,20,0,0
395,01-22-2019 11,2.179.141.106,32,7,1
396,01-22-2019 11,66.249.66.202,145,110,118
397,01-22-2019 11,54.36.149.100,0,40,0
398,01-22-2019 11,54.36.149.71,4,0,0
399,01-22-2019 11,5.112.52.262,0,19,0
400,01-22-2019 11,5.211.97.47,87,84,135
401,01-22-2019 11,54.36.149.78,28,0,0
402,01-22-2019 11,5.209.200.226,87,53,82
403,01-22-2019 11,54.36.148.26,0,39,0
404,01-22-2019 11,66.249.64.74,0,10,0
405,01-22-2019 11,54.36.148.25,0,0,8
406,01-22-2019 11,54.36.148.40,0,0,5
407,01-22-2019 11,54.36.148.18,10,0,0
408,01-22-2019 11,54.36.149.49,0,7,0
409,01-22-2019 11,178.253.33.59,44,5,33
410,01-22-2019 11,173.249.54.75,0,36,21
411,01-22-2019 11,2.177.12.148,38,112,73
412,01-22-2019 11,54.36.149.43,1,0,0
413,01-22-2019 11,207.46.13.144,29,12,61
414,01-22-2019 12,51.15.15.63,9,0,0
415,01-22-2019 12,178.253.33.60,21,21,24
416,01-22-2019 12,2.179.141.107,0,41,6
417,01-22-2019 12,89.199.193.260,0,0,7
418,01-22-2019 12,46.224.77.41,27,4,26
419,01-22-2019 12,207.46.13.124,27,34,28
420,01-22-2019 12,54.36.149.50,4,0,0
421,01-22-2019 12,17.58.102.52,40,0,8
422,01-22-2019 12,54.36.148.41,0,10,0
423,01-22-2019 12,66.249.64.75,0,0,1
424,01-22-2019 12,2.185.221.88,0,2,0
425,01-22-2019 12,54.36.148.126,7,0,0
426,01-22-2019 12,54.36.148.27,0,0,1
427,01-22-2019 12,2.177.12.149,42,42,84
428,01-22-2019 12,66.249.66.100,86,60,59
429,01-22-2019 12,5.160.157.29,0,4,4
430,01-22-2019 12,172.20.2.183,0,0,6
431,01-22-2019 12,54.36.148.96,7,0,0
432,01-22-2019 12,5.78.180.84,0,1,0
433,01-22-2019 12,104.194.24.42,0,0,6
434,01-22-2019 12,54.36.149.26,0,0,8
435,01-22-2019 12,66.111.54.258,142,76,189
436,01-22-2019 12,66.249.66.203,110,110,47
437,01-22-2019 12,54.36.149.79,0,0,10
438,01-22-2019 12,173.249.54.76,36,42,0
439,01-22-2019 12,54.36.148.241,3,0,0
440,01-22-2019 12,5.112.52.263,0,53,0
441,01-22-2019 12,54.36.148.26,0,8,0
442,01-22-2019 12,31.56.96.60,72,96,56
443,01-22-2019 12,157.55.39.254,80,0,11
444,01-22-2019 12,207.46.13.145,24,12,30
445,01-22-2019 12,204.18.198.257,34,66,23
446,01-22-2019 12,5.78.198.61,58,35,78
447,01-22-2019 12,54.36.149.72,0,2,0
448,01-22-2019 12,5.211.97.48,245,79,130
449,01-22-2019 12,207.46.13.113,46,37,52
450,01-22-2019 12,40.77.167.138,20,29,46
451,01-22-2019 12,5.209.200.227,57,118,41
452,01-22-2019 12,5.62.206.258,0,8,0
453,01-22-2019 12,54.36.148.19,0,23,0
454,01-22-2019 12,34.247.132.62,0,13,0
455,01-22-2019 12,54.36.149.67,0,0,15
456,01-22-2019 12,54.36.149.44,0,11,0
457,01-22-2019 12,91.99.72.24,28,61,39
458,01-22-2019 12,54.36.148.170,0,6,0
459,01-22-2019 12,54.36.149.101,1,0,0
460,01-22-2019 13,66.249.66.204,172,112,47
461,01-22-2019 13,40.77.167.139,46,26,34
462,01-22-2019 13,46.224.77.42,0,10,16
463,01-22-2019 13,17.58.102.53,4,6,0
464,01-22-2019 13,89.199.193.261,1,0,0
465,01-22-2019 13,34.247.132.63,21,0,0
466,01-22-2019 13,66.249.66.101,68,47,75
467,01-22-2019 13,207.46.13.125,29,55,0
468,01-22-2019 13,51.15.15.64,0,11,7
469,01-22-2019 13,54.36.148.127,0,1,0
470,01-22-2019 13,54.36.148.171,0,0,10
471,01-22-2019 13,54.36.148.28,2,0,0
472,01-22-2019 13,54.36.149.68,0,6,0
473,01-22-2019 13,2.185.221.89,11,0,0
474,01-22-2019 13,207.46.13.114,14,10,34
475,01-22-2019 13,204.18.198.258,14,14,39
476,01-22-2019 13,54.36.149.27,0,3,0
477,01-22-2019 13,5.112.52.264,0,7,8
478,01-22-2019 13,157.55.39.255,0,13,31
479,01-22-2019 13,54.36.149.45,15,0,0
480,01-22-2019 13,31.56.96.61,87,44,97
481,01-22-2019 13,54.36.149.80,27,0,0
482,01-22-2019 13,54.36.148.42,0,8,0
483,01-22-2019 13,104.194.24.43,0,0,9
484,01-22-2019 13,5.78.180.85,0,3,0
485,01-22-2019 13,207.46.13.146,57,34,21
486,01-22-2019 13,54.36.149.51,0,0,7
487,01-22-2019 13,2.179.141.108,14,68,11
488,01-22-2019 13,54.36.148.97,0,25,0
489,01-22-2019 13,2.177.12.150,26,57,55
490,01-22-2019 13,5.209.200.228,81,120,101
491,01-22-2019 13,5.160.157.30,0,8,16
492,01-22-2019 13,54.36.148.27,0,6,0
493,01-22-2019 13,172.20.2.184,17,0,0
494,01-22-2019 13,5.78.198.62,38,40,56
495,01-22-2019 13,66.111.54.259,178,187,70
496,01-22-2019 13,178.253.33.61,0,17,7
497,01-22-2019 13,5.62.206.259,0,0,6
498,01-22-2019 13,54.36.148.242,0,3,0
499,01-22-2019 13,173.249.54.77,3,38,18
500,01-22-2019 13,54.36.149.73,12,0,0
501,01-22-2019 13,91.99.72.25,82,58,23
502,01-22-2019 13,54.36.149.102,0,6,0
503,01-22-2019 13,5.211.97.49,176,138,78
504,01-22-2019 13,54.36.148.20,0,18,0
505,01-22-2019 13,66.249.64.76,0,2,0
506,01-22-2019 14,2.185.221.90,38,0,0
507,01-22-2019 14,2.179.141.109,1,0,44
508,01-22-2019 14,54.36.148.21,0,0,5
509,01-22-2019 14,5.160.157.31,4,0,9
510,01-22-2019 14,34.247.132.64,0,1,0
511,01-22-2019 14,54.36.148.98,6,0,0
512,01-22-2019 14,66.249.64.77,0,0,42
513,01-22-2019 14,40.77.167.140,29,10,72
514,01-22-2019 14,46.224.77.43,16,0,29
515,01-22-2019 14,54.36.149.103,0,0,12
516,01-22-2019 14,2.177.12.151,72,58,75
517,01-22-2019 14,89.199.193.262,22,0,0
518,01-22-2019 14,5.78.180.86,29,0,0
519,01-22-2019 14,51.15.15.65,33,0,0
520,01-22-2019 14,54.36.148.43,0,0,12
521,01-22-2019 14,17.58.102.54,12,0,7
522,01-22-2019 14,207.46.13.126,9,20,6
523,01-22-2019 14,5.112.52.265,0,23,0
524,01-22-2019 14,5.209.200.229,72,27,31
525,01-22-2019 14,54.36.148.243,1,0,0
526,01-22-2019 14,66.249.66.205,112,91,68
527,01-22-2019 14,54.36.149.69,17,0,0
528,01-22-2019 14,54.36.148.172,3,0,0
529,01-22-2019 14,204.18.198.259,7,42,26
530,01-22-2019 14,54.36.149.28,5,0,0
531,01-22-2019 14,207.46.13.147,44,31,36
532,01-22-2019 14,5.78.198.63,15,52,38
533,01-22-2019 14,172.20.2.185,2,0,0
534,01-22-2019 14,54.36.148.128,0,0,24
535,01-22-2019 14,54.36.149.46,0,7,0
536,01-22-2019 14,54.36.149.52,0,0,17
537,01-22-2019 14,54.36.149.74,0,0,2
538,01-22-2019 14,157.55.39.256,14,4,0
539,01-22-2019 14,5.62.206.260,0,0,9
540,01-22-2019 14,178.253.33.62,1,44,9
541,01-22-2019 14,173.249.54.78,23,6,22
542,01-22-2019 14,54.36.148.28,3,0,0
543,01-22-2019 14,5.211.97.50,161,106,81
544,01-22-2019 14,66.111.54.260,132,71,163
545,01-22-2019 14,31.56.96.62,139,92,41
546,01-22-2019 14,54.36.148.29,0,5,0
547,01-22-2019 14,207.46.13.115,22,41,2
548,01-22-2019 14,104.194.24.44,0,0,19
549,01-22-2019 14,91.99.72.26,28,42,32
550,01-22-2019 14,54.36.149.81,15,0,0
551,01-22-2019 14,66.249.66.102,29,77,99
552,01-22-2019 15,40.77.167.141,19,17,51
553,01-22-2019 15,54.36.148.173,0,23,0
554,01-22-2019 15,207.46.13.148,58,15,55
555,01-22-2019 15,54.36.149.53,12,0,0
556,01-22-2019 15,17.58.102.55,2,32,0
557,01-22-2019 15,54.36.148.244,6,0,0
